,District,Code,Estimate,Prevalence_%,Prevalence_LCL,Prevalence_UCL,NoPLHIV,NoPLHIV_LCL,NoPLHIV_UCL,NoPNLHIV
0,Buffalo City,BUF,Survey,13.6,10.267999999999999,16.932000000000002,102437,77340,127534,753213
1,Buffalo City,BUF,Fay-Heriott,13.50128335,11.03160511,16.42180248,101693,83092,123691,753209
2,City of Cape Town,CPT,Survey,5.2,3.0439999999999996,7.356,200751,117517,283985,3860596
3,City of Cape Town,CPT,Fay-Heriott,6.020042622999999,4.335071759,8.303091047999999,232409,167359,320548,3860587
4,West Coast,DC1,Survey,2.7,0.0,5.444,11302,0,22789,418592
5,West Coast,DC1,Fay-Heriott,4.088319201,2.414351075,6.841548105,17114,10107,28639,418607
6,Cacadu,DC10,Survey,7.6,3.484,11.716,34732,15922,53542,457000
7,Cacadu,DC10,Fay-Heriott,8.912386935,6.145010366,12.75664649,40729,28083,58298,456993
8,Amatole,DC12,Survey,11.0,7.276,14.724,98884,65407,132361,898945
9,Amatole,DC12,Fay-Heriott,11.87860828,9.090702345,15.37688298,106783,81721,138230,898952
10,Chris Hani,DC13,Survey,14.3,10.184,18.416,114849,81792,147906,803139
11,Chris Hani,DC13,Fay-Heriott,14.08098256,11.18121978,17.58389307,113090,89801,141224,803139
12,Joe Gqabi,DC14,Survey,10.7,7.956,13.444,37766,28081,47451,352953
13,Joe Gqabi,DC14,Fay-Heriott,11.50780369,9.291765857,14.16979441,40618,32796,50013,352960
14,O.R. Tambo,DC15,Survey,11.8,8.468,15.132,160352,115073,205631,1358915
15,O.R. Tambo,DC15,Fay-Heriott,12.31731625,9.771987613,15.41238288,167382,132793,209441,1358916
16,Xhariep,DC16,Survey,8.3,6.144,10.456,11777,8718,14836,141891
17,Xhariep,DC16,Fay-Heriott,8.963069577,7.187823448,11.12421399,12718,10199,15784,141893
18,Lejweleputswa,DC18,Survey,20.3,13.44,27.16,123868,82009,165727,610187
19,Lejweleputswa,DC18,Fay-Heriott,17.62828626,13.67704879,22.42448733,107566,83456,136832,610189
20,Thabo Mofutsanyana,DC19,Survey,15.9,12.96,18.84,115006,93741,136271,723308
21,Thabo Mofutsanyana,DC19,Fay-Heriott,15.68472708,13.45523084,18.20593182,113449,97323,131685,723308
22,Cape Winelands,DC2,Survey,3.8,0.46799999999999997,7.132000000000001,30706,3782,57630,808052
23,Cape Winelands,DC2,Fay-Heriott,5.526056037000001,3.417588075,8.816589862,44653,27616,71242,808044
24,Fezile Dabi,DC20,Survey,9.0,6.256,11.744000000000002,45550,31662,59438,506111
25,Fezile Dabi,DC20,Fay-Heriott,10.03075422,7.811308513999999,12.79330378,50767,39534,64748,506113
26,Ugu,DC21,Survey,19.5,17.736,21.264,142979,130045,155913,733225
27,Ugu,DC21,Fay-Heriott,19.40920594,18.02083106,20.87730492,142314,132134,153078,733229
28,uMgungundlovu,DC22,Survey,21.0,15.512,26.488000000000003,221073,163299,278847,1052728
29,uMgungundlovu,DC22,Fay-Heriott,19.93921461,16.29388218,24.16465922,209906,171531,254389,1052729
30,uThukela,DC23,Survey,17.3,9.46,25.14,118124,64593,171655,682797
31,uThukela,DC23,Fay-Heriott,16.92290426,12.36215576,22.72984368,115549,84408,155199,682796
32,uMzinyathi,DC24,Survey,18.2,16.632,19.768,93587,85524,101650,514214
33,uMzinyathi,DC24,Fay-Heriott,18.09757781,16.84508697,19.421445199999997,93061,86620,99868,514217
34,Amajuba,DC25,Survey,16.2,13.26,19.14,82210,67290,97130,507469
35,Amajuba,DC25,Fay-Heriott,15.96358442,13.73604298,18.47499589,81010,69706,93755,507467
36,Zululand,DC26,Survey,20.8,17.468,24.131999999999998,171411,143952,198870,824091
37,Zululand,DC26,Fay-Heriott,20.38491806,17.92658427,23.08554679,167990,147731,190246,824089
38,uMkhanyakude,DC27,Survey,13.5,8.992,18.008,86131,57369,114893,638007
39,uMkhanyakude,DC27,Fay-Heriott,14.30415596,11.0219694,18.36203155,91262,70321,117152,638010
40,uThungulu,DC28,Survey,17.3,12.204,22.396,162238,114448,210028,937791
41,uThungulu,DC28,Fay-Heriott,17.09174613,13.6028359,21.25535596,160285,127566,199331,937791
42,iLembe,DC29,Survey,12.4,0.64,24.16,78178,4035,152321,630467
43,iLembe,DC29,Fay-Heriott,14.94820173,9.643026583,22.44698023,94243,60796,141520,630463
44,Overberg,DC3,Survey,6.25,0.0,14.22299693,17039,0,38775,272624
45,Overberg,DC3,Fay-Heriott,7.389234792999999,4.457124876,12.00780541,20145,12151,32736,272626
46,Gert Sibande,DC30,Survey,19.7,17.936,21.464000000000002,208067,189436,226698,1056177
47,Gert Sibande,DC30,Fay-Heriott,19.60438702,18.21802794,21.06906625,207057,192415,222527,1056176
48,Nkangala,DC31,Survey,9.3,7.34,11.26,126270,99658,152882,1357741
49,Nkangala,DC31,Fay-Heriott,9.708283245,8.086492757,11.61423284,131814,109794,157692,1357747
50,Ehlanzeni,DC32,Survey,16.4,10.324000000000002,22.476,281104,176959,385249,1714048
51,Ehlanzeni,DC32,Fay-Heriott,15.82096042,12.01242505,20.55490602,271179,205899,352321,1714048
52,Mopani,DC33,Survey,11.4,5.52,17.28,87968,42595,133341,771649
53,Mopani,DC33,Fay-Heriott,11.29497107,7.921185166,15.85823762,87157,61123,122369,771644
54,Vhembe,DC34,Survey,5.3,0.204,10.395999999999999,70373,2709,138037,1327792
55,Vhembe,DC34,Fay-Heriott,7.726615776,4.791526675,12.22869174,102593,63621,162371,1327787
56,Capricorn,DC35,Survey,9.2,4.3,14.1,116351,54381,178321,1264684
57,Capricorn,DC35,Fay-Heriott,9.73608524,6.7435537189999994,13.85923255,123131,85285,175276,1264686
58,Waterberg,DC36,Survey,10.1,7.16,13.04,71577,50742,92412,708683
59,Waterberg,DC36,Fay-Heriott,10.37925399,8.166962818,13.10529635,73556,57878,92875,708682
60,Bojanala Platinum,DC37,Survey,13.6,10.856,16.344,212904,169947,255861,1565470
61,Bojanala Platinum,DC37,Fay-Heriott,13.58866929,11.46661628,16.03232114,212727,179507,250982,1565473
62,Ngaka Modiri Molema,DC38,Survey,13.8,8.9,18.7,117661,75883,159439,852615
63,Ngaka Modiri Molema,DC38,Fay-Heriott,12.9273911,9.828125759,16.82167456,110221,83796,143424,852615
64,Dr Ruth Segomotsi Mompati,DC39,Survey,10.9,6.587999999999999,15.212,51450,31096,71804,472018
65,Dr Ruth Segomotsi Mompati,DC39,Fay-Heriott,11.04523483,8.16434356,14.77909025,52136,38538,69761,472022
66,Eden,DC4,Survey,4.3,1.9480000000000002,6.652,25191,11412,38970,585837
67,Eden,DC4,Fay-Heriott,5.317398118,3.5870084660000003,7.814874292000001,31151,21014,45782,585831
68,Dr Kenneth Kaunda,DC40,Survey,14.5,11.56,17.44,102584,81784,123384,707475
69,Dr Kenneth Kaunda,DC40,Fay-Heriott,14.12500468,11.92356673,16.65602905,99931,84357,117838,707475
70,Sedibeng,DC42,Survey,21.6,12.584000000000001,30.616,197713,115186,280240,915337
71,Sedibeng,DC42,Fay-Heriott,17.08711854,12.66867201,22.64696375,156405,115961,207296,915338
72,Sisonke,DC43,Survey,21.1,13.064,29.136,99572,61650,137494,471905
73,Sisonke,DC43,Fay-Heriott,19.26794869,14.64480986,24.924369100000003,90926,69109,117619,471902
74,Alfred Nzo,DC44,Survey,12.7,6.0360000000000005,19.364,104363,49601,159125,821755
75,Alfred Nzo,DC44,Fay-Heriott,12.79514154,8.876243282999999,18.10056565,105145,72941,148742,821757
76,John Taolo Gaetsewe,DC45,Survey,8.8,4.096,13.504000000000001,20323,9460,31186,230943
77,John Taolo Gaetsewe,DC45,Fay-Heriott,7.987394556,5.464106362000001,11.53375689,18446,12619,26636,230938
78,Sekhukhune,DC47,Survey,7.0,3.08,10.92,77489,34095,120883,1106985
79,Sekhukhune,DC47,Fay-Heriott,8.893104928,6.066257542000001,12.85694802,98446,67153,142325,1106992
80,West Rand,DC48,Survey,7.1,0.828,13.372,60313,7034,113592,849478
81,West Rand,DC48,Fay-Heriott,11.193368800000002,7.100790907,17.20780658,95085,60320,146177,849476
82,Central Karoo,DC5,Survey,25.0,9.054006146,40.94599385,17808,6449,29167,71232
83,Central Karoo,DC5,Fay-Heriott,12.05989304,8.050239215,17.68260916,8590,5734,12596,71227
84,Namakwa,DC6,Survey,2.8,0.44799999999999995,5.152,3317,531,6103,118464
85,Namakwa,DC6,Fay-Heriott,1.5840316280000002,0.831113709,2.998405866,1876,984,3552,118431
86,Pixley ka Seme,DC7,Survey,5.0,3.432,6.568,9501,6521,12481,190020
87,Pixley ka Seme,DC7,Fay-Heriott,5.7203006720000005,4.381728855,7.435991382,10870,8326,14130,190024
88,Siyanda,DC8,Survey,5.6,3.052,8.148,13673,7452,19894,244160
89,Siyanda,DC8,Fay-Heriott,5.9629710529999995,4.1970519269999995,8.406705165,14559,10247,20525,244156
90,Frances Baard,DC9,Survey,12.4,4.952,19.848,47040,18786,75294,379354
91,Frances Baard,DC9,Fay-Heriott,10.85150802,7.377810226,15.68378427,41165,27988,59497,379348
92,Ekurhuleni,EKU,Survey,14.3,9.792,18.808,462059,316397,607721,3231181
93,Ekurhuleni,EKU,Fay-Heriott,13.67890752,10.64729161,17.40557176,441990,344033,562405,3231179
94,eThekwini,ETH,Survey,14.5,10.776,18.224,502310,373303,631317,3464206
95,eThekwini,ETH,Fay-Heriott,14.53777186,11.79122176,17.79501741,503618,408472,616456,3464203
96,City of Johannesburg,JHB,Survey,11.1,7.9639999999999995,14.235999999999999,515387,369778,660996,4643126
97,City of Johannesburg,JHB,Fay-Heriott,11.07530563,8.760104317,13.90911097,514241,406743,645818,4643131
98,Mangaung,MAN,Survey,7.9,4.763999999999999,11.036,87676,52872,122480,1109822
99,Mangaung,MAN,Fay-Heriott,9.147424526,6.7259166,12.32553601,101520,74646,136792,1109820
100,Nelson Mandela Bay Metro,NMA,Survey,8.3,3.4,13.2,97459,39923,154995,1174204
101,Nelson Mandela Bay Metro,NMA,Fay-Heriott,9.054060118999999,6.128702672999999,13.17970373,106313,71964,154757,1174202
102,City of Tshwane,TSH,Survey,11.7,7.388,16.012,361450,228239,494661,3089316
103,City of Tshwane,TSH,Fay-Heriott,11.02485835,8.255934455,14.5749091,340593,255052,450265,3089318
